label,os,is_mobile,country,pageviews
0,(not set),True,Cameroon,2
0,(not set),True,India,2
0,FreeBSD,False,United Kingdom,2
0,(not set),False,Denmark,1
0,(not set),True,Indonesia,1
0,Samsung,True,India,1
0,Windows Phone,True,United States,3
0,(not set),False,India,1
0,(not set),True,India,1
0,(not set),True,India,1
0,(not set),True,Nigeria,1
0,(not set),True,Sri Lanka,1
0,Windows Phone,True,Vietnam,1
0,(not set),True,Nigeria,1
0,(not set),True,Nigeria,1
0,(not set),True,Nigeria,2
0,Windows Phone,True,United States,2
0,(not set),True,Cameroon,3
0,(not set),True,Nigeria,1
0,Windows Phone,True,Bangladesh,1
0,(not set),True,Nigeria,1
0,Samsung,True,India,1
0,Windows Phone,True,Vietnam,1
0,(not set),True,Morocco,1
0,(not set),True,Burundi,1
0,(not set),True,Vietnam,1
0,BlackBerry,True,Ecuador,1
0,(not set),True,Sri Lanka,1
0,(not set),True,Côte d’Ivoire,1
0,Windows Phone,True,Vietnam,1
0,Windows Phone,True,Vietnam,1
0,(not set),True,Côte d’Ivoire,1
0,(not set),True,Pakistan,1
0,(not set),True,Senegal,1
0,(not set),True,Bangladesh,2
0,BlackBerry,True,India,3
0,Nintendo Wii,False,Japan,5
0,(not set),True,Nigeria,1
0,(not set),True,Nigeria,1
0,Xbox,False,United States,1
0,(not set),False,United States,1
0,(not set),True,Bangladesh,1
0,Samsung,True,India,1
0,(not set),True,Nigeria,1
0,(not set),True,Tanzania,1
0,(not set),True,Pakistan,2
0,(not set),True,Tanzania,3
0,(not set),True,Ghana,4
0,(not set),True,Cambodia,4
0,Windows Phone,True,Thailand,1
0,Windows Phone,True,India,1
0,Windows Phone,True,Germany,1
0,BlackBerry,True,United States,1
0,(not set),True,Côte d’Ivoire,6
0,Firefox OS,True,Mexico,7
0,(not set),True,Nepal,1
0,(not set),True,Lesotho,1
0,(not set),True,Pakistan,1
0,(not set),True,Ghana,1
0,Windows Phone,True,India,1
0,(not set),True,Morocco,2
0,Windows Phone,True,Vietnam,2
0,(not set),True,Pakistan,2
0,(not set),True,Russia,3
0,(not set),True,Cameroon,2
0,(not set),True,Morocco,1
0,(not set),True,India,1
0,Windows Phone,True,Kenya,1
0,Samsung,True,India,1
0,(not set),True,Romania,1
0,(not set),True,India,1
0,(not set),True,Indonesia,2
0,(not set),True,Azerbaijan,2
0,(not set),True,Indonesia,3
0,(not set),True,Kenya,1
0,(not set),True,Netherlands,1
0,(not set),True,Indonesia,2
0,(not set),True,Sudan,1
0,(not set),True,Netherlands,1
0,Firefox OS,True,Romania,1
0,(not set),True,United States,1
0,(not set),True,India,1
0,(not set),True,Netherlands,1
0,(not set),True,Indonesia,1
0,FreeBSD,False,United States,1
0,(not set),True,Netherlands,2
0,(not set),True,India,3
0,Xbox,False,Australia,25
0,(not set),True,Uganda,1
0,(not set),True,India,1
0,(not set),True,Pakistan,1
0,(not set),True,Pakistan,1
0,(not set),True,India,1
0,(not set),True,Vietnam,1
0,(not set),True,India,1
0,(not set),True,Indonesia,1
0,BlackBerry,True,Indonesia,2
0,(not set),False,United Kingdom,2
0,(not set),True,Bangladesh,2
0,(not set),True,Côte d’Ivoire,3
0,(not set),True,Egypt,1
0,Windows Phone,True,Uruguay,1
0,Nintendo Wii,False,Germany,1
0,(not set),True,South Africa,3
0,Windows Phone,True,India,7
0,Windows Phone,True,Greece,1
0,(not set),True,Netherlands,1
0,(not set),True,India,1
0,Samsung,True,Indonesia,2
0,(not set),True,Netherlands,3
0,(not set),True,Netherlands,4
0,(not set),True,Netherlands,4
0,Nintendo Wii,False,United States,1
0,(not set),True,Indonesia,1
0,(not set),True,Netherlands,1
0,(not set),True,Iceland,1
0,(not set),True,Indonesia,2
0,(not set),True,Kenya,1
0,(not set),True,Kenya,2
0,(not set),True,Kenya,2
0,(not set),True,India,6
0,Windows Phone,True,Iraq,3
0,(not set),True,India,10
0,Windows Phone,True,United Kingdom,1
0,BlackBerry,True,Nigeria,1
0,BlackBerry,True,Netherlands,1
0,(not set),True,Ukraine,1
0,(not set),True,Nigeria,1
0,(not set),True,Côte d’Ivoire,1
0,Windows Phone,True,Greece,1
0,(not set),True,Côte d’Ivoire,1
0,(not set),True,Namibia,1
0,Samsung,True,Algeria,1
0,(not set),True,Nigeria,4
0,Windows Phone,True,India,5
0,Windows Phone,True,Vietnam,1
0,Firefox OS,True,Côte d’Ivoire,1
0,(not set),True,Ethiopia,1
0,(not set),True,Nigeria,1
0,Windows Phone,True,India,1
0,Nintendo Wii,False,Japan,1
0,Samsung,True,Azerbaijan,1
0,(not set),True,Ethiopia,1
0,Windows Phone,True,Nigeria,1
0,BlackBerry,True,Indonesia,1
0,(not set),True,Uganda,1
0,(not set),True,Indonesia,2
0,Xbox,False,United Kingdom,2
0,(not set),True,Guinea,2
0,Windows Phone,True,Poland,3
0,(not set),True,Pakistan,1
0,(not set),True,Nigeria,1
0,(not set),True,India,1
0,(not set),True,Cameroon,1
0,(not set),True,Indonesia,1
0,(not set),True,Pakistan,1
0,Windows Phone,True,Colombia,2
0,(not set),True,Cameroon,1
0,Windows Phone,True,Ghana,1
0,Windows Phone,True,Mexico,1
0,(not set),False,Chile,1
0,(not set),True,South Africa,1
0,Windows Phone,True,France,3
0,(not set),True,Ethiopia,1
0,(not set),False,United Arab Emirates,1
0,Nintendo Wii,False,Japan,1
0,(not set),True,India,1
0,(not set),True,Tanzania,1
0,(not set),True,Cambodia,1
0,(not set),True,Madagascar,2
0,BlackBerry,True,Vietnam,2
0,Windows Phone,True,Argentina,2
0,(not set),True,Bangladesh,2
0,(not set),True,Morocco,3
0,Windows Phone,True,Argentina,3
0,Windows Phone,True,Argentina,3
0,(not set),True,Côte d’Ivoire,1
0,(not set),True,India,1
0,Windows Phone,True,Italy,1
0,Samsung,True,India,1
0,BlackBerry,True,Canada,1
0,(not set),True,India,1
0,(not set),True,Nigeria,1
0,(not set),True,Pakistan,2
0,Windows Phone,True,India,3
0,(not set),True,Nigeria,3
0,(not set),True,Cameroon,4
0,Windows Phone,True,Poland,5
0,(not set),True,Nigeria,9
0,Nintendo Wii,False,France,1
0,BlackBerry,True,France,1
0,(not set),True,Ethiopia,1
0,BlackBerry,True,Italy,1
0,(not set),True,Côte d’Ivoire,3
0,(not set),True,India,5
0,(not set),True,Côte d’Ivoire,15
0,(not set),True,India,49
0,(not set),True,Côte d’Ivoire,2
0,(not set),True,India,3
0,Samsung,True,India,4
0,(not set),True,Cameroon,4
0,(not set),True,Cameroon,6
0,(not set),True,India,1
0,Xbox,False,United States,1
0,(not set),False,United States,1
0,(not set),True,United Kingdom,1
0,(not set),True,Congo - Kinshasa,1
0,(not set),True,Pakistan,1
0,(not set),True,India,1
0,BlackBerry,True,Vietnam,1
0,(not set),True,Côte d’Ivoire,1
0,(not set),True,Moldova,1
0,(not set),True,Indonesia,1
0,(not set),True,Mexico,1
0,(not set),True,India,2
0,Windows Phone,True,Mexico,2
0,(not set),True,Egypt,2
0,(not set),True,India,1
0,(not set),False,United States,1
0,(not set),True,Sri Lanka,2
0,(not set),True,Kenya,3
0,(not set),True,Côte d’Ivoire,3
0,(not set),True,Côte d’Ivoire,4
0,Windows Phone,True,Vietnam,4
0,(not set),True,Congo - Kinshasa,5
